entry_pct,exit_pct,dca_days,return_pct,max_dd_pct,num_trades
0.05,-0.02,252,24359.76953271009,-85.82025270286077,2013.0
0.05,-0.01,252,41179.18194616497,-87.06624781873977,1889.0
0.05,0.0,252,18821.57650764582,-87.06624781873977,1833.0
0.05,0.01,252,13108.234082292292,-88.9477395438407,1762.0
0.05,0.02,252,10690.840297284893,-90.48399980270759,1717.0
0.05,0.03,252,10720.125720941298,-90.30924774080553,1657.0
0.05,0.04,252,7106.230199133423,-91.96524486382887,1636.0
0.05,0.05,252,8790.751758435707,-88.24931807946552,1425.0
0.06,-0.02,252,20288.371408690622,-85.82025270286077,2094.0
0.06,-0.01,252,29180.699378397447,-87.06624781873977,1960.0
0.06,0.0,252,14912.082935741393,-87.06624781873977,1900.0
0.06,0.01,252,11326.91869333976,-88.9477395438407,1831.0
0.06,0.02,252,9678.88097492169,-90.48399980270759,1785.0
0.06,0.03,252,8480.97965356404,-90.30924774080553,1711.0
0.06,0.04,252,5613.2758873050625,-91.96524486382887,1690.0
0.06,0.05,252,7562.556107334939,-88.24931807946552,1439.0
-0.02,-0.02,315,,,
-0.02,-0.01,315,,,
-0.02,0.0,315,,,
-0.02,0.01,315,,,
-0.02,0.02,315,1093989.8911794252,-74.58177831263394,1543.0
-0.02,0.03,315,342977.6824276054,-74.58177831263394,1474.0
-0.02,0.04,315,76141.84211754806,-74.58177831263394,1407.0
-0.02,0.05,315,49423.68977316019,-74.58177831263394,1311.0
-0.01,-0.02,315,,,
-0.01,-0.01,315,,,
-0.01,0.0,315,,,
-0.01,0.01,315,810228.9194433778,-71.08577222622715,1683.0
-0.01,0.02,315,336867.8642858752,-74.58177831263394,1589.0
-0.01,0.03,315,149039.1060761246,-74.58177831263394,1528.0
-0.01,0.04,315,41669.623066476706,-74.58177831263394,1468.0
-0.01,0.05,315,33034.245229253975,-78.51376032167303,1363.0
0.0,-0.02,315,,,
0.0,-0.01,315,,,
0.0,0.0,315,402475.1475443499,-71.08577222622715,1848.0
0.0,0.01,315,122025.53974057817,-71.08577222622715,1741.0
0.0,0.02,315,67504.07203528658,-74.58177831263394,1646.0
0.0,0.03,315,43411.51138795608,-74.58177831263394,1591.0
0.0,0.04,315,14364.746829754687,-80.35974546209847,1538.0
0.0,0.05,315,16502.845448324086,-81.13538044196576,1427.0
0.01,-0.02,315,,,
0.01,-0.01,315,923229.0390935001,-71.08577222622715,2018.0
0.01,0.0,315,230603.56022290548,-71.08577222622715,1915.0
0.01,0.01,315,91262.4908346843,-71.08577222622715,1821.0
0.01,0.02,315,42476.36484220377,-74.58177831263394,1744.0
0.01,0.03,315,56924.203643957095,-74.58177831263394,1679.0
0.01,0.04,315,21867.28440565271,-78.2405152774344,1638.0
0.01,0.05,315,27452.72890315288,-76.6826577761093,1504.0
0.02,-0.02,315,1174301.8448487744,-71.08577222622715,2186.0
0.02,-0.01,315,423574.2624246978,-71.08577222622715,2076.0
0.02,0.0,315,131233.29117031302,-71.08577222622715,1981.0
0.02,0.01,315,50731.58255748943,-71.08577222622715,1905.0
0.02,0.02,315,29249.92162535494,-75.82238301589904,1821.0
0.02,0.03,315,35023.697453030996,-75.47824184626765,1766.0
0.02,0.04,315,13412.362502959573,-79.67309686542781,1725.0
0.02,0.05,315,22750.03290295771,-76.6826577761093,1581.0
0.03,-0.02,315,469525.87508649204,-71.08577222622715,2254.0
0.03,-0.01,315,276807.512991987,-71.08577222622715,2137.0
0.03,0.0,315,81111.48654081029,-71.08577222622715,2049.0
0.03,0.01,315,44502.31460933985,-71.08577222622715,1979.0
0.03,0.02,315,28765.770466044018,-75.82238301589904,1892.0
0.03,0.03,315,32148.355883049073,-75.47824184626765,1832.0
0.03,0.04,315,17272.474043951766,-79.67309686542781,1798.0
0.03,0.05,315,24248.906936520012,-75.430041910558,1648.0
0.04,-0.02,315,109595.28123812252,-71.08577222622715,2393.0
0.04,-0.01,315,142147.43955261994,-73.56309214538527,2267.0
0.04,0.0,315,46650.75357733033,-73.56309214538527,2181.0
0.04,0.01,315,29130.255881459612,-77.40311051928231,2109.0
0.04,0.02,315,24585.643451271593,-80.55920608354373,2042.0
0.04,0.03,315,25063.743700138268,-80.2824882597246,1997.0
0.04,0.04,315,15461.48252793152,-83.6594887375712,1966.0
0.04,0.05,315,13477.155822691651,-79.3215648936737,1790.0
0.05,-0.02,315,26855.702213203163,-84.48808495966303,2148.0
0.05,-0.01,315,45385.02411035028,-85.88180293587307,2023.0
0.05,0.0,315,20787.589183715663,-85.88180293587307,1966.0
0.05,0.01,315,14510.582027836104,-87.93213609626227,1894.0
0.05,0.02,315,11827.286758870356,-89.63379124784235,1849.0
0.05,0.03,315,11787.665052884733,-89.53131866755368,1789.0
0.05,0.04,315,7771.937081133046,-91.33858601662635,1766.0
0.05,0.05,315,9620.469577806505,-87.42183282313556,1555.0
0.06,-0.02,315,22202.476217671072,-84.48808495966303,2229.0
0.06,-0.01,315,31976.101387977076,-85.88180293587307,2094.0
0.06,0.0,315,16382.469655408719,-85.88180293587307,2033.0
0.06,0.01,315,12471.50168486132,-87.93213609626227,1963.0
0.06,0.02,315,10652.522765229274,-89.63379124784235,1917.0
0.06,0.03,315,9285.11594579978,-89.53131866755368,1843.0
0.06,0.04,315,6113.288588422109,-91.33858601662635,1820.0
0.06,0.05,315,8263.693317306277,-87.42183282313556,1569.0
-0.02,-0.02,378,,,
-0.02,-0.01,378,,,
-0.02,0.0,378,,,
-0.02,0.01,378,,,
-0.02,0.02,378,1092070.9767647719,-74.58177831263394,1543.0
-0.02,0.03,378,342414.73212119756,-74.58177831263394,1474.0
-0.02,0.04,378,76055.81041055509,-74.58177831263394,1407.0
-0.02,0.05,378,49343.699545579475,-74.58177831263394,1311.0
-0.01,-0.02,378,,,
-0.01,-0.01,378,,,
-0.01,0.0,378,,,
-0.01,0.01,378,801594.9991985201,-71.08577222622715,1683.0
-0.01,0.02,378,333288.92606885976,-74.58177831263394,1589.0
-0.01,0.03,378,147511.7189947786,-74.58177831263394,1528.0
-0.01,0.04,378,41268.961744134256,-74.58177831263394,1468.0
-0.01,0.05,378,32724.337563403988,-78.21975044767403,1363.0
0.0,-0.02,378,,,
0.0,-0.01,378,,,
0.0,0.0,378,397673.1891013444,-71.08577222622715,1848.0
0.0,0.01,378,120635.17546507958,-71.08577222622715,1741.0
0.0,0.02,378,66751.8061736249,-74.58177831263394,1646.0
0.0,0.03,378,42903.53107892544,-74.58177831263394,1591.0
0.0,0.04,378,14197.333142880123,-80.06204959695819,1538.0
0.0,0.05,378,16317.825836714917,-80.86716710517918,1427.0
0.01,-0.02,378,,,
0.01,-0.01,378,912683.5352953563,-71.08577222622715,2018.0
0.01,0.0,378,228059.25782909163,-71.08577222622715,1915.0
0.01,0.01,378,90236.13677440237,-71.08577222622715,1821.0
0.01,0.02,378,42017.309801916905,-74.58177831263394,1744.0
0.01,0.03,378,56282.355287105725,-74.58177831263394,1679.0
0.01,0.04,378,21616.681277794934,-77.57324459125688,1638.0
0.01,0.05,378,27185.84013664806,-76.32188146861873,1504.0
0.02,-0.02,378,1148634.378893357,-71.08577222622715,2186.0
0.02,-0.01,378,414175.91683287965,-71.08577222622715,2076.0
0.02,0.0,378,128398.28175052369,-71.08577222622715,1981.0
0.02,0.01,378,49627.015884112705,-71.08577222622715,1905.0
0.02,0.02,378,28632.726021842307,-74.58177831263394,1821.0
0.02,0.03,378,34274.07221069483,-74.58177831263394,1766.0
0.02,0.04,378,13124.939763709306,-79.05034687004563,1725.0
0.02,0.05,378,22309.922523089524,-76.32188146861873,1581.0
0.03,-0.02,378,463781.0150730844,-71.08577222622715,2254.0
0.03,-0.01,378,273381.4701869943,-71.08577222622715,2137.0
0.03,0.0,378,80196.05003402558,-71.08577222622715,2049.0
0.03,0.01,378,44027.39080671378,-71.08577222622715,1979.0
0.03,0.02,378,28458.905478094148,-74.58177831263394,1892.0
0.03,0.03,378,31793.673596429115,-74.58177831263394,1832.0
0.03,0.04,378,17081.626046843,-78.58485944000431,1798.0
0.03,0.05,378,24043.287355751498,-74.58177831263394,1648.0
0.04,-0.02,378,107614.29766080428,-71.08577222622715,2394.0
0.04,-0.01,378,139644.42796123034,-71.08577222622715,2268.0
0.04,0.0,378,45854.57626326916,-71.08577222622715,2181.0
0.04,0.01,378,28670.517470015882,-75.1595466984864,2109.0
0.04,0.02,378,24195.85558280076,-78.6459764667258,2042.0
0.04,0.03,378,24625.364163086808,-78.39766398514749,1997.0
0.04,0.04,378,15201.173842908565,-82.10963047513093,1966.0
0.04,0.05,378,13241.926663036691,-78.31585278671105,1790.0
0.05,-0.02,378,27122.078195727077,-83.87872755481892,2246.0
0.05,-0.01,378,45898.2182592101,-85.32969278009152,2121.0
0.05,0.0,378,21052.540583322017,-85.32969278009152,2064.0
0.05,0.01,378,14717.563016868595,-87.45780570381211,1991.0
0.05,0.02,378,12010.76263670274,-89.22558002880618,1945.0
0.05,0.03,378,11984.929898502653,-89.12301219112449,1885.0
0.05,0.04,378,7894.419060660066,-90.9997564339287,1857.0
0.05,0.05,378,9827.842556533255,-86.92768361776947,1645.0
0.06,-0.02,378,22273.161444026893,-83.87872755481892,2328.0
0.06,-0.01,378,32156.908013484535,-85.32969278009152,2193.0
0.06,0.0,378,16503.175855509347,-85.32969278009152,2132.0
0.06,0.01,378,12581.061721055987,-87.45780570381211,2061.0
0.06,0.02,378,10760.276800272493,-89.22558002880618,2014.0
0.06,0.03,378,9394.99167105119,-89.12301219112449,1940.0
0.06,0.04,378,6177.98594384463,-90.9997564339287,1912.0
0.06,0.05,378,8414.256525190212,-86.92768361776947,1660.0
-0.02,-0.02,441,,,
-0.02,-0.01,441,,,
-0.02,0.0,441,,,
-0.02,0.01,441,,,
-0.02,0.02,441,1090390.0426578405,-74.58177831263394,1543.0
-0.02,0.03,441,341914.7377879288,-74.58177831263394,1474.0
-0.02,0.04,441,75972.46685531463,-74.58177831263394,1407.0
-0.02,0.05,441,49272.6849563684,-74.58177831263394,1311.0
