in_sample_years,n_folds,regime_cov_pct,mildest_blind_dd,years,total_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,common_cagr,common_ann_vol,common_sharpe,common_sortino,common_max_dd,common_calmar
3,24,54.166666666666664,-11.637953395221862,24.0,604624.8383040556,43.73578614155331,46.13412086045697,1.0200150342921122,1.256953399974572,-53.04258589834606,0.8245409872243248,35.938876642988184,48.531359428843714,0.8796510250008526,1.0491966784022972,-50.73190308393853,0.7084078155618462
5,22,68.18181818181817,-16.09928451897657,22.0,95314.67014334445,36.59570765735389,45.613018809309644,0.9151549852857496,1.1225492294301922,-56.74212435007926,0.6449477892574316,33.43155885141247,48.120079820759734,0.8445789882873391,0.9986400969795363,-56.74212435007926,0.5891841243932167
6,21,76.19047619047619,-16.09928451897657,21.0,70010.25493511226,36.61972504793742,45.7324279647629,0.9145758594790456,1.1106483275109502,-53.0425858983462,0.690383480136461,34.94660525400608,48.006106827861004,0.8689933018828054,1.0245234874249312,-52.17355588150878,0.6698145193203472
7,20,80.0,-16.10438554709032,20.0,39295.03389498507,34.82551067340862,45.658114805848356,0.8864013052915442,1.0588668281327696,-56.0183417812959,0.6216804990296338,33.73663651534555,48.048756583920614,0.8498690936126241,1.004516855946378,-56.0183417812959,0.602242684138322
8,19,84.21052631578947,-16.10438554709032,19.0,30137.992624179038,35.06891735089206,46.067361062835005,0.8866373777274951,1.0582124262358539,-56.7421243500791,0.6180402611387807,34.40293189385643,48.05483938674933,0.8601821419487329,1.0174822885402863,-56.7421243500791,0.6063032057383392
9,18,88.88888888888889,-16.10438554709032,18.0,19430.616921800913,34.04851212260447,46.01880312694851,0.8707908234734748,1.0355263573141593,-56.74212435007926,0.6000570565976159,33.797119050531954,47.88181331320166,0.8521538703252093,1.005422252357239,-56.74212435007926,0.5956266078798078
10,17,94.11764705882352,-22.796656255978263,17.0,14761.040446998495,34.204661487272794,46.96492760555216,0.8652790679724671,1.0404209262985828,-56.74212435007914,0.6028089691574102,33.25110802964948,47.9048662975605,0.8434269996698482,0.9947985308953881,-56.74212435007914,0.5860039328894655
15,12,100.0,-35.11871954086314,12.0,2801.0690527048473,32.39751653847633,49.13559114768883,0.8223451748039327,0.9664644943205017,-56.465825997900495,0.5737544074832259,32.39751653847633,49.13559114768883,0.8223451748039327,0.9664644943205017,-56.465825997900495,0.5737544074832259
