entry_pct,exit_pct,dca_days,return_pct,max_dd_pct,num_trades
-0.02,-0.02,126,,,
-0.02,-0.01,126,,,
-0.02,0.0,126,,,
-0.02,0.01,126,,,
-0.02,0.02,126,25256.838184066004,-56.377774530182776,1278.0
-0.02,0.03,126,12293.786748234597,-63.67064346439631,1184.0
-0.02,0.04,126,8357.339203874475,-63.34321083696036,1105.0
-0.02,0.05,126,9138.249182462996,-59.48056348311043,1067.0
-0.01,-0.02,126,,,
-0.01,-0.01,126,,,
-0.01,0.0,126,,,
-0.01,0.01,126,41648.5474596317,-62.53456894986393,1272.0
-0.01,0.02,126,17308.36672477611,-56.70249876300383,1124.0
-0.01,0.03,126,9252.346997114008,-58.78147625208003,1044.0
-0.01,0.04,126,7822.167573498602,-63.44579047604634,976.0
-0.01,0.05,126,7818.363706263361,-63.309275432136914,938.0
0.0,-0.02,126,,,
0.0,-0.01,126,,,
0.0,0.0,126,64537.592526460845,-58.32004442010773,1397.0
0.0,0.01,126,14954.507521633017,-57.48656907483536,1283.0
0.0,0.02,126,4976.175357775953,-58.097015959779554,1148.0
0.0,0.03,126,3401.0422971630737,-62.665628914989234,1080.0
0.0,0.04,126,3620.028480382144,-66.91349602663104,999.0
0.0,0.05,126,4252.26813819596,-66.8221056176963,962.0
0.01,-0.02,126,,,
0.01,-0.01,126,61511.76185423526,-51.90656142458104,1432.0
0.01,0.0,126,15287.13607035805,-58.40817650965649,1290.0
0.01,0.01,126,5730.313125258926,-60.88308147275938,1210.0
0.01,0.02,126,4421.421847125276,-65.14901856591825,1088.0
0.01,0.03,126,3485.8038862409694,-63.68697048400102,1016.0
0.01,0.04,126,3326.2650200816574,-64.18683230312902,929.0
0.01,0.05,126,3924.241714710801,-63.82045749762182,897.0
0.02,-0.02,126,31265.136250709755,-54.6259850052381,1603.0
0.02,-0.01,126,17742.092446944083,-52.22569161783126,1439.0
0.02,0.0,126,11688.893904230179,-58.36098936034326,1317.0
0.02,0.01,126,6221.299141338845,-60.9318572405591,1240.0
0.02,0.02,126,5789.039555174569,-64.29226850862459,1125.0
0.02,0.03,126,6194.788155685232,-63.68697048400105,1043.0
0.02,0.04,126,6281.849241931669,-64.18683230312905,949.0
0.02,0.05,126,5957.014983552817,-63.82045749762191,914.0
0.03,-0.02,126,14205.515487715329,-54.39610352478134,1540.0
0.03,-0.01,126,8128.351517178919,-55.44014410271536,1408.0
0.03,0.0,126,6140.347532980324,-60.21002843533414,1294.0
0.03,0.01,126,4916.559190967647,-60.812582835604864,1210.0
0.03,0.02,126,4394.675455193989,-64.17424554627543,1077.0
0.03,0.03,126,5220.754201735585,-61.87636826605012,981.0
0.03,0.04,126,4902.949131670791,-62.35008606474901,855.0
0.03,0.05,126,4677.637883355196,-63.82045749762193,829.0
0.04,-0.02,126,5771.240418564842,-56.21114297076043,1586.0
0.04,-0.01,126,4663.618814354028,-55.44014410271527,1459.0
0.04,0.0,126,4923.803207389818,-59.089701077590526,1342.0
0.04,0.01,126,5572.763376096887,-60.8125828356049,1250.0
0.04,0.02,126,6303.800874461232,-64.17424554627561,1133.0
0.04,0.03,126,6315.803888848774,-61.87636826605012,1012.0
0.04,0.04,126,6105.401903041538,-62.35008606474901,885.0
0.04,0.05,126,6372.307852486865,-63.82045749762193,869.0
0.05,-0.02,126,2848.2764981719015,-57.94575882636873,1750.0
0.05,-0.01,126,2001.1310749584336,-60.823992816377036,1607.0
0.05,0.0,126,2148.309803156208,-62.409383463841706,1450.0
0.05,0.01,126,3146.6351847728033,-63.99341716557858,1303.0
0.05,0.02,126,4119.721607005051,-67.0820868720902,1177.0
0.05,0.03,126,4843.780348771775,-61.876368266050186,1047.0
0.05,0.04,126,4992.833630797318,-62.35008606474901,914.0
0.05,0.05,126,5202.548174083046,-63.82045749762183,898.0
0.06,-0.02,126,2737.4398661524156,-59.49730654841594,1845.0
0.06,-0.01,126,1909.9443262747013,-58.78416779754376,1742.0
0.06,0.0,126,1984.2792366610909,-62.68190319480587,1546.0
0.06,0.01,126,2315.7980562452717,-65.36669556393814,1384.0
0.06,0.02,126,3367.042220895659,-68.3411092624509,1213.0
0.06,0.03,126,4323.8811777546825,-61.876368266050164,1064.0
0.06,0.04,126,4673.441974753321,-62.35008606474896,928.0
0.06,0.05,126,4869.213485956043,-63.820457497621916,912.0
-0.02,-0.02,189,,,
-0.02,-0.01,189,,,
-0.02,0.0,189,,,
-0.02,0.01,189,,,
-0.02,0.02,189,25748.69073418718,-57.29550177586841,1378.0
-0.02,0.03,189,12522.328224619107,-64.42605462326526,1281.0
-0.02,0.04,189,8525.184090014229,-64.10002392642842,1200.0
-0.02,0.05,189,9324.875665273641,-60.30057836770428,1160.0
-0.01,-0.02,189,,,
-0.01,-0.01,189,,,
-0.01,0.0,189,,,
-0.01,0.01,189,43432.912734174475,-62.63997626466049,1461.0
-0.01,0.02,189,18095.801737470534,-56.77155209557977,1313.0
-0.01,0.03,189,9703.454064218913,-59.71709316975948,1233.0
-0.01,0.04,189,8228.248434669562,-64.28233199907034,1165.0
-0.01,0.05,189,8247.024014432885,-64.11377737180459,1127.0
0.0,-0.02,189,,,
0.0,-0.01,189,,,
0.0,0.0,189,67076.2345097345,-58.4380946524232,1586.0
0.0,0.01,189,15506.883495388203,-58.15188613905801,1472.0
0.0,0.02,189,5146.997940535197,-58.895510183469646,1337.0
0.0,0.03,189,3515.775052849833,-63.708610968467426,1269.0
0.0,0.04,189,3753.5838723397333,-67.83654289383378,1188.0
0.0,0.05,189,4415.68630321999,-67.70568238271156,1151.0
0.01,-0.02,189,,,
0.01,-0.01,189,62291.208679490956,-51.64368052856169,1658.0
0.01,0.0,189,15427.772862977088,-57.30647573193324,1513.0
0.01,0.01,189,5724.2266204535335,-59.829332624895024,1433.0
0.01,0.02,189,4344.18208498006,-64.17156492514445,1303.0
0.01,0.03,189,3410.4737493582093,-62.63043482392917,1231.0
0.01,0.04,189,3273.1091371229973,-63.19180659710798,1144.0
0.01,0.05,189,3872.139711592476,-63.04145873887439,1110.0
0.02,-0.02,189,31593.914341027274,-55.90756673614558,1855.0
0.02,-0.01,189,17953.7119586122,-51.64882951755786,1691.0
0.02,0.0,189,11766.836610421826,-57.30504597245301,1569.0
0.02,0.01,189,6205.317436584333,-59.93201953229925,1492.0
0.02,0.02,189,5685.47976644031,-63.36885298795263,1375.0
0.02,0.03,189,6081.5521558472365,-62.630434823929335,1293.0
0.02,0.04,189,6206.57738957863,-63.13349914679033,1199.0
0.02,0.05,189,5909.678577874487,-62.66370918464166,1162.0
0.03,-0.02,189,13286.867182689806,-53.57252491534747,1729.0
0.03,-0.01,189,7610.214594321007,-54.635420230569764,1597.0
0.03,0.0,189,5745.152056232237,-59.593994155769316,1483.0
0.03,0.01,189,4628.405409265681,-60.18916488883195,1399.0
0.03,0.02,189,4097.417164334024,-63.578775063376156,1266.0
0.03,0.03,189,4923.601799406874,-61.03114317920964,1170.0
0.03,0.04,189,4695.110198040205,-61.484207151911164,1044.0
0.03,0.05,189,4528.234529142178,-62.663709184641824,1017.0
0.04,-0.02,189,5414.29381168614,-55.44303727613411,1829.0
0.04,-0.01,189,4403.755057546832,-54.63542023056972,1701.0
0.04,0.0,189,4611.327866827235,-58.33743059205938,1566.0
0.04,0.01,189,5264.0893584799,-60.18916488883208,1474.0
0.04,0.02,189,5983.89372757051,-63.57877506337608,1356.0
0.04,0.03,189,6084.704572496795,-61.03114317920964,1235.0
0.04,0.04,189,5981.024580339531,-61.484207151911164,1108.0
0.04,0.05,189,6296.830058854327,-62.663709184641824,1091.0
0.05,-0.02,189,2593.576311609095,-57.394849308640325,2002.0
0.05,-0.01,189,1841.7883602776417,-59.711354554088224,1859.0
0.05,0.0,189,1948.213347434997,-61.46869895047976,1678.0
0.05,0.01,189,2898.442233488267,-63.419509801176886,1531.0
0.05,0.02,189,3824.2182119644035,-66.53399183635392,1404.0
0.05,0.03,189,4581.074268604355,-61.03114317920972,1274.0
0.05,0.04,189,4819.765130620495,-61.48420715191117,1141.0
0.05,0.05,189,5068.794681216952,-62.66370918464166,1124.0
0.06,-0.02,189,2465.9943088384603,-59.03877107170267,2141.0
0.06,-0.01,189,1736.608341413832,-58.296328484339696,2022.0
0.06,0.0,189,1799.511215112642,-62.197958219801905,1826.0
0.06,0.01,189,2091.7927590927816,-64.8616288308922,1636.0
0.06,0.02,189,3083.5415618699967,-67.85575871299022,1465.0
0.06,0.03,189,4051.0445377739998,-61.03114317920958,1316.0
0.06,0.04,189,4480.79103627344,-61.48420715191117,1180.0
0.06,0.05,189,4712.288898568582,-62.66370918464177,1164.0
-0.02,-0.02,252,,,
-0.02,-0.01,252,,,
-0.02,0.0,252,,,
-0.02,0.01,252,,,
-0.02,0.02,252,25576.71113533303,-57.75065314233506,1420.0
-0.02,0.03,252,12437.601409574338,-64.80080771833622,1323.0
-0.02,0.04,252,8424.865941120172,-64.47553504284903,1239.0
-0.02,0.05,252,9215.688376847213,-60.707622069323655,1199.0
-0.01,-0.02,252,,,
-0.01,-0.01,252,,,
-0.01,0.0,252,,,
-0.01,0.01,252,45561.887147420326,-62.69260380003121,1601.0
-0.01,0.02,252,18999.97328217232,-56.806057184405304,1452.0
-0.01,0.03,252,10180.176508154309,-60.18046317853488,1368.0
-0.01,0.04,252,8584.786960098707,-64.69660657775599,1295.0
-0.01,0.05,252,8602.940905419353,-64.5125808490434,1255.0
0.0,-0.02,252,,,
0.0,-0.01,252,,,
0.0,0.0,252,71466.47145125073,-58.51635489955892,1756.0
0.0,0.01,252,16548.59167290553,-58.484495023866835,1639.0
0.0,0.02,252,5489.293684951731,-59.29164074520214,1503.0
0.0,0.03,252,3680.330212430119,-64.22361430571972,1427.0
0.0,0.04,252,3910.6550744471547,-68.29236264816294,1341.0
0.0,0.05,252,4604.588519668554,-68.14257548607479,1303.0
0.01,-0.02,252,,,
0.01,-0.01,252,69438.96449398233,-52.10943340782834,1847.0
0.01,0.0,252,17242.709528059837,-52.51435441205453,1702.0
0.01,0.01,252,6408.3679592509625,-59.42268270143559,1622.0
0.01,0.02,252,4901.112904072244,-60.06528428938407,1492.0
0.01,0.03,252,3854.9099203915566,-62.189429873571235,1412.0
0.01,0.04,252,3710.2155515976337,-63.553965843005145,1323.0
0.01,0.05,252,4391.176967619936,-63.38127828688196,1288.0
0.02,-0.02,252,34711.75741814035,-56.541062362277664,2054.0
0.02,-0.01,252,19768.52527741735,-52.073835316348585,1889.0
0.02,0.0,252,13031.001921389625,-52.96041109724777,1764.0
0.02,0.01,252,6884.015904635031,-59.42268270143559,1687.0
0.02,0.02,252,6343.5744942420715,-59.60683798757438,1564.0
0.02,0.03,252,6869.815960245317,-58.326259884196766,1475.0
0.02,0.04,252,7031.449255002633,-58.8809349690778,1379.0
0.02,0.05,252,6705.534295110548,-58.351615676855786,1341.0
0.03,-0.02,252,13491.39776718406,-50.97499766971946,1871.0
0.03,-0.01,252,7740.374952320056,-52.08988175660145,1735.0
0.03,0.0,252,5875.017863943674,-57.22126229881631,1618.0
0.03,0.01,252,4754.8573936974635,-59.21778203581044,1534.0
0.03,0.02,252,4242.673120967338,-61.31681734617679,1393.0
0.03,0.03,252,5189.3214590937705,-59.557309447779296,1297.0
0.03,0.04,252,5006.000855015008,-59.5573094477792,1171.0
0.03,0.05,252,4994.59615331386,-59.292252257040666,1143.0
0.04,-0.02,252,5495.469143384512,-52.9388096937788,2018.0
0.04,-0.01,252,4500.751241225092,-51.963852728637114,1890.0
0.04,0.0,252,4748.2807615242555,-55.82770448914069,1755.0
0.04,0.01,252,5445.231520564434,-57.78907686057353,1663.0
0.04,0.02,252,6207.280953267187,-61.316817346176755,1529.0
0.04,0.03,252,6435.1334232999,-58.012027103052624,1407.0
0.04,0.04,252,6403.112914802463,-58.351436499280354,1280.0
