Date,Close,Open,High,Low,Volume
1999-03-11,18.11991163969089,18.11991163969089,18.11991163969089,18.11991163969089,0.0
1999-03-12,18.384662647187366,18.11991163969089,18.384662647187366,18.11991163969089,0.0
1999-03-15,17.039677153637534,18.384662647187366,18.384662647187366,17.039677153637534,0.0
1999-03-16,18.506196103501303,17.039677153637534,18.506196103501303,17.039677153637534,0.0
1999-03-17,18.97637248171392,18.506196103501303,18.97637248171392,18.506196103501303,0.0
1999-03-18,18.563870373856687,18.97637248171392,18.97637248171392,18.563870373856687,0.0
1999-03-19,19.642519903096087,18.563870373856687,19.642519903096087,18.563870373856687,0.0
1999-03-22,18.13452983154088,19.642519903096087,19.642519903096087,18.13452983154088,0.0
1999-03-23,17.46929384703685,18.13452983154088,18.13452983154088,17.46929384703685,0.0
1999-03-24,15.622792259758517,17.46929384703685,17.46929384703685,15.622792259758517,0.0
1999-03-25,17.211859141382746,15.622792259758517,17.211859141382746,15.622792259758517,0.0
1999-03-26,19.096931858308334,17.211859141382746,19.096931858308334,17.211859141382746,0.0
1999-03-29,18.47942230032523,19.096931858308334,19.096931858308334,18.47942230032523,0.0
1999-03-30,20.48660028727096,18.47942230032523,20.48660028727096,18.47942230032523,0.0
1999-03-31,20.055223040755426,20.48660028727096,20.48660028727096,20.055223040755426,0.0
1999-04-01,19.170957026676316,20.055223040755426,20.055223040755426,19.170957026676316,0.0
1999-04-05,20.368390419817025,19.170957026676316,20.368390419817025,19.170957026676316,0.0
1999-04-06,22.577174793928776,20.368390419817025,22.577174793928776,20.368390419817025,0.0
1999-04-07,22.708879797771807,22.577174793928776,22.708879797771807,22.577174793928776,0.0
1999-04-08,21.998893805222284,22.708879797771807,22.708879797771807,21.998893805222284,0.0
1999-04-09,22.521838880909936,21.998893805222284,22.521838880909936,21.998893805222284,0.0
1999-04-12,22.93880351917816,22.521838880909936,22.93880351917816,22.521838880909936,0.0
1999-04-13,22.47464164792448,22.93880351917816,22.93880351917816,22.47464164792448,0.0
1999-04-14,21.560778391312276,22.47464164792448,22.47464164792448,21.560778391312276,0.0
1999-04-15,19.341398419647003,21.560778391312276,21.560778391312276,19.341398419647003,0.0
1999-04-16,20.129615489911245,19.341398419647003,20.129615489911245,19.341398419647003,0.0
