Date,Open,High,Low,Close,Volume
1993-01-29,43.96875,43.96875,43.75,24.11326789855957,1003200
1993-02-01,43.96875,44.25,43.96875,24.284765243530273,480500
1993-02-02,44.21875,44.375,44.125,24.33621597290039,201300
1993-02-03,44.40625,44.84375,44.375,24.59345817565918,529400
1993-02-04,44.96875,45.09375,44.46875,24.69635581970215,531500
1993-02-05,44.96875,45.0625,44.71875,24.679229736328125,492100
1993-02-08,44.96875,45.125,44.90625,24.679229736328125,596100
1993-02-09,44.8125,44.8125,44.5625,24.50771713256836,122100
1993-02-10,44.65625,44.75,44.53125,24.542016983032227,379600
1993-02-11,44.78125,45.125,44.78125,24.66207504272461,19500
1993-02-12,44.875,44.875,44.59375,24.473413467407227,42500
1993-02-16,44.46875,44.46875,43.40625,23.856000900268555,374800
1993-02-17,43.46875,43.53125,43.28125,23.838842391967773,210900
1993-02-18,43.9375,43.9375,42.8125,23.821704864501953,378100
1993-02-19,43.40625,43.5625,43.34375,23.907461166381836,34900
1993-02-22,43.6875,43.78125,43.5625,23.993207931518555,513600
1993-02-23,43.84375,43.875,43.46875,23.976062774658203,373700
1993-02-24,43.71875,44.25,43.71875,24.284765243530273,26300
1993-02-25,44.21875,44.375,44.125,24.33621597290039,44500
1993-02-26,44.4375,44.4375,44.1875,24.37052345275879,66200
1993-03-01,44.5625,44.5625,44.21875,24.301916122436523,66500
1993-03-02,44.3125,44.9375,44.25,24.66207504272461,182400
1993-03-03,45.0,45.15625,44.9375,24.764965057373047,280100
1993-03-04,45.1875,45.1875,44.875,24.627777099609375,89500
1993-03-05,44.9375,45.125,44.71875,24.559144973754883,40000
1993-03-08,44.84375,45.75,44.84375,25.107994079589844,50800
1993-03-09,45.65625,45.6875,45.5,25.02223014831543,169300
1993-03-10,45.59375,45.6875,45.40625,25.073678970336914,194400
1993-03-11,45.71875,45.84375,45.5,25.005067825317383,70900
1993-03-12,45.1875,45.21875,44.8125,24.747827529907227,643600
1993-03-15,45.0625,45.3125,45.0625,24.867870330810547,310800
1993-03-16,45.3125,45.4375,45.3125,24.867870330810547,30800
1993-03-17,45.25,45.25,44.96875,24.713518142700195,21800
1993-03-18,45.21875,45.5,45.21875,24.867870330810547,59300
1993-03-19,45.28125,45.28125,45.03125,24.830236434936523,66900
1993-03-22,44.59375,44.875,44.5625,24.692394256591797,183400
1993-03-23,44.90625,44.9375,44.8125,24.744091033935547,55200
1993-03-24,44.8125,45.0625,44.59375,24.744091033935547,37200
1993-03-25,44.90625,45.25,44.84375,24.899158477783203,110100
1993-03-26,45.125,45.15625,44.875,24.76130485534668,101500
1993-03-29,44.9375,45.3125,44.9375,24.864707946777344,87100
1993-03-30,45.15625,45.21875,45.09375,24.933624267578125,56000
1993-03-31,45.34375,45.46875,45.1875,24.9163818359375,111600
1993-04-01,45.25,45.25,44.9375,24.830236434936523,129500
1993-04-02,44.65625,44.65625,44.09375,24.313310623168945,59400
1993-04-05,44.4375,44.4375,44.1875,24.433927536010742,172200
1993-04-06,44.40625,44.40625,44.0625,24.3649959564209,129700
1993-04-07,44.25,44.34375,44.15625,24.451152801513672,28000
1993-04-08,44.53125,44.53125,44.09375,24.416690826416016,180800
1993-04-12,44.71875,44.9375,44.65625,24.76130485534668,348500
1993-04-13,44.875,45.15625,44.84375,24.8129940032959,146100
1993-04-14,45.03125,45.0625,44.90625,24.77855110168457,119600
1993-04-15,44.90625,45.03125,44.75,24.77855110168457,148600
1993-04-16,44.96875,45.03125,44.875,24.77855110168457,47900
1993-04-19,44.9375,45.0625,44.71875,24.675134658813477,157000
1993-04-20,44.6875,44.75,44.25,24.554540634155273,279500
1993-04-21,44.625,44.625,44.375,24.53730010986328,67900
