Date,Open,High,Low,Close,Volume
2008-11-05,4.811666965484619,4.899167060852051,4.176667213439941,3.272099494934082,229200
2008-11-06,4.150000095367432,4.197500228881836,3.552500009536743,2.771660566329956,4332000
2008-11-07,3.7074999809265137,3.887500047683716,3.6116669178009033,2.9673452377319336,6978000
2008-11-10,4.150000095367432,4.1616668701171875,3.584167003631592,2.8518593311309814,5785200
2008-11-11,3.5416669845581055,3.6875,3.2916669845581055,2.6632323265075684,11479200
2008-11-12,3.327500104904175,3.327500104904175,3.0174999237060547,2.366818904876709,13312800
2008-11-13,3.0516669750213623,3.5333330631256104,2.564167022705078,2.708784818649292,32067600
2008-11-14,3.2708330154418945,3.5833330154418945,3.0416669845581055,2.3616867065429688,34303200
2008-11-17,2.956666946411133,3.170833110809326,2.8333330154418945,2.1948726177215576,44524800
2008-11-18,2.836667060852051,2.994999885559082,2.5958330631256104,2.2147626876831055,61130400
2008-11-19,2.875,2.9708330631256104,2.3666670322418213,1.8580389022827148,75193200
2008-11-20,2.324167013168335,2.497499942779541,1.8466670513153076,1.537245273590088,137044800
2008-11-21,2.266666889190674,2.2699999809265137,1.8058329820632935,1.7111159563064575,124576800
2008-11-24,2.37166690826416,2.797499895095825,2.316667079925537,1.9998303651809692,98185200
2008-11-25,2.834167003631592,2.8458330631256104,2.5250000953674316,2.111467123031616,80054400
2008-11-26,2.5875000953674316,3.0450000762939453,2.5758330821990967,2.331531047821045,61237200
2008-11-28,2.9916670322418213,3.125,2.9791669845581055,2.4008231163024902,21645600
2008-12-01,2.872499942779541,2.881666898727417,2.2816669940948486,1.7771981954574585,101854800
2008-12-02,2.423332929611206,2.5733330249786377,2.309999942779541,1.9651846885681152,109262400
2008-12-03,2.3883330821990967,2.7866671085357666,2.3666670322418213,2.1127500534057617,136166400
2008-12-04,2.6458330154418945,2.8258330821990967,2.4033329486846924,1.9440120458602905,109459200
2008-12-05,2.4149999618530273,2.816667079925537,2.2833330631256104,2.1416211128234863,167187600
2008-12-08,3.0333330631256104,3.206666946411133,2.9741671085357666,2.3802924156188965,142784400
2008-12-09,3.012500047683716,3.204166889190674,2.879167079925537,2.2461998462677,126266400
2008-12-10,3.0183329582214355,3.1191670894622803,2.8958330154418945,2.31677508354187,125726400
2008-12-11,2.954166889190674,3.0975000858306885,2.7216670513153076,2.1454708576202393,113610000
2008-12-12,2.543333053588867,2.884999990463257,2.516666889190674,2.2025718688964844,142026000
2008-12-15,2.9033329486846924,2.9166669845581055,2.6308329105377197,2.1082582473754883,91215600
2008-12-16,2.819166898727417,3.1575000286102295,2.810832977294922,2.4296936988830566,121978800
2008-12-17,3.050832986831665,3.2291669845581055,2.9841670989990234,2.3715932369232178,118600800
2008-12-18,3.1191670894622803,3.1408329010009766,2.7966670989990234,2.240480422973633,94359600
2008-12-19,2.942500114440918,3.0758330821990967,2.858333110809326,2.2359821796417236,97183200
2008-12-22,2.9100000858306885,2.9166669845581055,2.603332996368408,2.13379168510437,76341600
2008-12-23,2.798332929611206,2.8358330726623535,2.6483330726623535,2.0663070678710938,68952000
2008-12-24,2.7133328914642334,2.7366669178009033,2.6566669940948486,2.0907301902770996,17952000
2008-12-26,2.7725000381469727,2.7783329486846924,2.7049999237060547,2.134434223175049,19194000
2008-12-29,2.7874999046325684,2.7874999046325684,2.619999885559082,2.1209375858306885,46562400
