Date,Close,Open,High,Low,Volume
1993-02-01,0.5516499781139476,0.5516499781139476,0.5516499781139476,0.5516499781139476,0
1993-02-02,0.5594550089585306,0.5516499781139476,0.5594550089585306,0.5516499781139476,0
1993-02-03,0.561783175844748,0.5594550089585306,0.561783175844748,0.5594550089585306,0
1993-02-04,0.573617080396121,0.561783175844748,0.573617080396121,0.561783175844748,0
1993-02-05,0.5783735669864778,0.573617080396121,0.5783735669864778,0.573617080396121,0
1993-02-08,0.5775275651207619,0.5783735669864778,0.5783735669864778,0.5775275651207619,0
1993-02-09,0.5774837921981674,0.5775275651207619,0.5775275651207619,0.5774837921981674,0
1993-02-10,0.5694133742831713,0.5774837921981674,0.5774837921981674,0.5694133742831713,0
1993-02-11,0.5709640648235086,0.5694133742831713,0.5709640648235086,0.5694133742831713,0
1993-02-12,0.5765070325753272,0.5709640648235086,0.5765070325753272,0.5709640648235086,0
1993-02-16,0.5676429336295229,0.5765070325753272,0.5765070325753272,0.5676429336295229,0
1993-02-17,0.5389590436516997,0.5676429336295229,0.5676429336295229,0.5389590436516997,0
1993-02-18,0.5381428977947786,0.5389590436516997,0.5389590436516997,0.5381428977947786,0
1993-02-19,0.5373283778884015,0.5381428977947786,0.5381428977947786,0.5373283778884015,0
1993-02-22,0.5411563333197923,0.5373283778884015,0.5411563333197923,0.5373283778884015,0
1993-02-23,0.5449971517088614,0.5411563333197923,0.5449971517088614,0.5411563333197923,0
1993-02-24,0.5441769521517957,0.5449971517088614,0.5449971517088614,0.5441769521517957,0
1993-02-25,0.5581487474344071,0.5441769521517957,0.5581487474344071,0.5441769521517957,0
1993-02-26,0.5604714783252781,0.5581487474344071,0.5604714783252781,0.5581487474344071,0
1993-03-01,0.5620092244204928,0.5604714783252781,0.5620092244204928,0.5604714783252781,0
1993-03-02,0.5588023171175444,0.5620092244204928,0.5620092244204928,0.5588023171175444,0
1993-03-03,0.5753230721507169,0.5588023171175444,0.5753230721507169,0.5588023171175444,0
1993-03-04,0.5800799544503116,0.5753230721507169,0.5800799544503116,0.5753230721507169,0
1993-03-05,0.5736091682403328,0.5800799544503116,0.5800799544503116,0.5736091682403328,0
1993-03-08,0.5703686504901517,0.5736091682403328,0.5736091682403328,0.5703686504901517,0
1993-03-09,0.5958186793307516,0.5703686504901517,0.5958186793307516,0.5703686504901517,0
1993-03-10,0.5917031230277764,0.5958186793307516,0.5958186793307516,0.5917031230277764,0
1993-03-11,0.5940915063380638,0.5917031230277764,0.5940915063380638,0.5917031230277764,0
1993-03-12,0.5907951562556516,0.5940915063380638,0.5940915063380638,0.5907951562556516,0
1993-03-15,0.5785947361988371,0.5907951562556516,0.5907951562556516,0.5785947361988371,0
1993-03-16,0.5841639918764986,0.5785947361988371,0.5841639918764986,0.5785947361988371,0
1993-03-17,0.5841197159548921,0.5841639918764986,0.5841639918764986,0.5841197159548921,0
1993-03-18,0.5768243072784143,0.5841197159548921,0.5841197159548921,0.5768243072784143,0
1993-03-19,0.5839858826284091,0.5768243072784143,0.5839858826284091,0.5768243072784143,0
1993-03-22,0.5821740652363152,0.5839858826284091,0.5839858826284091,0.5821740652363152,0
1993-03-23,0.5756661965057653,0.5821740652363152,0.5821740652363152,0.5756661965057653,0
1993-03-24,0.5780330305641179,0.5756661965057653,0.5780330305641179,0.5756661965057653,0
1993-03-25,0.5779892193304521,0.5780330305641179,0.5780330305641179,0.5779892193304521,0
1993-03-26,0.5851897519502692,0.5779892193304521,0.5851897519502692,0.5779892193304521,0
1993-03-29,0.5786656188802937,0.5851897519502692,0.5851897519502692,0.5786656188802937,0
1993-03-30,0.5834547694506562,0.5786656188802937,0.5834547694506562,0.5786656188802937,0
1993-03-31,0.5866448145953542,0.5834547694506562,0.5866448145953542,0.5834547694506562,0
1993-04-01,0.5857889817860116,0.5866448145953542,0.5866448145953542,0.5857889817860116,0
1993-04-02,0.5816939924446319,0.5857889817860116,0.5857889817860116,0.5816939924446319,0
1993-04-05,0.5574300264854388,0.5816939924446319,0.5816939924446319,0.5574300264854388,0
1993-04-06,0.562918532385745,0.5574300264854388,0.562918532385745,0.5574300264854388,0
1993-04-07,0.5596997204883819,0.562918532385745,0.562918532385745,0.5596997204883819,0
1993-04-08,0.5636155971918435,0.5596997204883819,0.5636155971918435,0.5596997204883819,0
1993-04-12,0.5619841350743832,0.5636155971918435,0.5636155971918435,0.5619841350743832,0
1993-04-13,0.5778050836187619,0.5619841350743832,0.5778050836187619,0.5619841350743832,0
1993-04-14,0.5801736223421875,0.5778050836187619,0.5801736223421875,0.5778050836187619,0
1993-04-15,0.5785189715734171,0.5801736223421875,0.5801736223421875,0.5785189715734171,0
1993-04-16,0.5784751235085083,0.5785189715734171,0.5785189715734171,0.5784751235085083,0
1993-04-19,0.5784312787670043,0.5784751235085083,0.5784751235085083,0.5784312787670043,0
1993-04-20,0.5735591239375925,0.5784312787670043,0.5784312787670043,0.5735591239375925,0
1993-04-21,0.5679093761609376,0.5735591239375925,0.5735591239375925,0.5679093761609376,0
1993-04-22,0.5670688377488293,0.5679093761609376,0.5679093761609376,0.5670688377488293,0
1993-04-23,0.5526905068033643,0.5670688377488293,0.5670688377488293,0.5526905068033643,0
1993-04-26,0.5479309509225351,0.5526905068033643,0.5526905068033643,0.5479309509225351,0
1993-04-27,0.5392792097918722,0.5479309509225351,0.5479309509225351,0.5392792097918722,0
1993-04-28,0.5508863425255255,0.5392792097918722,0.5508863425255255,0.5392792097918722,0
1993-04-29,0.548490237464643,0.5508863425255255,0.5508863425255255,0.548490237464643,0
1993-04-30,0.5531465803367095,0.548490237464643,0.5531465803367095,0.548490237464643,0
1993-05-03,0.554677186615663,0.5531465803367095,0.554677186615663,0.5531465803367095,0
